descriptor,imf_category,confidence,notes,n_conditions,collapsed_7cat
1.5. Debt Management,DEB,HIGH,See 7-cat decision below,2305,FISCAL
11.2. Natural resource and agricultural policies (excl. public enterprises and pricing),ENV,MEDIUM,PRIMARY: ENV (natural resource governance). Could be OTH. Natural resource policy is the closest IMF Monitor analogue to ENV.,412,GOVERNANCE
7. Exchange systems and restrictions (current and capital),EXT,HIGH,,471,EXTERNAL
"8. International trade policy, excluding customs reforms",EXT,HIGH,,265,EXTERNAL
"6.1. Financial sector legal reforms, regulation, and supervision",FIN,HIGH,,6546,FINANCIAL
2.1. Central bank operations and reforms,FIN,HIGH,,2825,FINANCIAL
6.2. Restructuring and privatization of financial institutions,FIN,MEDIUM,PRIMARY: FIN (financial institutions). Could be PRI. Financial sector context takes precedence here.,1800,FINANCIAL
"2.2. Central bank auditing, transparency, and financial controls",FIN,HIGH,,983,FINANCIAL
6. Financial sector,FIN,HIGH,Catch-all financial sector heading; FIN is correct,715,FINANCIAL
2. Central Bank,FIN,HIGH,Catch-all central bank heading,532,FINANCIAL
"1.6. Expenditure auditing, accounting, and financial controls",FP,HIGH,,5902,FISCAL
"1.7. Fiscal transparency (publication, parliamentary oversight)",FP,MEDIUM,"PRIMARY: FP (fiscal governance). Could be INS. Transparency is about fiscal management, not institutional reform.",3758,FISCAL
"1.3. Expenditure measures, including arrears clearance",FP,HIGH,,2805,FISCAL
"1.8. Budget preparation (e.g., submission or approval)",FP,HIGH,,2720,FISCAL
1. General government,FP,HIGH,Catch-all fiscal heading; FP is the best fit,1700,FISCAL
1.4. Combined expenditure and revenue measures,FP,MEDIUM,Spans FP and RTP. Assigned FP as the broader fiscal category.,654,FISCAL
11.1. Private sector legal and regulatory environment reform (non financial sector),INS,HIGH,,1272,GOVERNANCE
11.4. Anti-corruption legislation/policy,INS,MEDIUM,PRIMARY: INS (governance reform). Could be OTH. Anti-corruption is institutional capacity; INS preferred over catch-all OTH.,1255,GOVERNANCE
10. Economic statistics (excluding fiscal and central bank transparency and similar measures),INS,HIGH,Statistical capacity is an institutional/governance condition,770,GOVERNANCE
1.9. Inter-governmental relations,INS,MEDIUM,PRIMARY: INS (fiscal federalism/governance). Could be FP but structural/governance framing dominates.,373,GOVERNANCE
"3. Civil service and public employment reforms, and wages",LAB,MEDIUM,"PRIMARY: LAB (employment conditions, wages). Could be INS (structural reform of civil service). Wage/employment dimension is the primary IMF concern.",1459,LABOUR
"9. Labor markets, excluding public sector employment",LAB,HIGH,,222,LABOUR
11. Other structural measures,OTH,HIGH,Residual MONA category maps to residual IMF category,707,GOVERNANCE
11.3. PRSP development and implementation,POV,HIGH,PRSP = Poverty Reduction Strategy Paper; POV is unambiguous,84,SOCIAL
"5.2. Privatization, public enterprise reform and restructuring, other than pricing",PRI,HIGH,,2209,PRIVATISATION
"1.2. Revenue administration, including customs",RTP,HIGH,"Customs admin is revenue, not trade policy per descriptor label",5556,FISCAL
"1.1. Revenue measures, excluding trade policy",RTP,HIGH,,4285,FISCAL
5.1. Public enterprise pricing and subsidies,SOE,HIGH,,1341,PRIVATISATION
5. Public enterprise reform and pricing  (non financial sector),SOE,HIGH,Catch-all SOE heading,1066,PRIVATISATION
5.3. Price controls and marketing restrictions,SOE,MEDIUM,Under MONA section 5 (public enterprise). Could be EXT (trade). SOE assigned given section context.,197,PRIVATISATION
4.1. Pension reforms,SP,HIGH,,757,SOCIAL
"4.2. Other social sector reforms (e.g., social safety nets, health and education)",SP,HIGH,,710,SOCIAL
4. Pension and other social sector reforms,SP,HIGH,Catch-all social sector heading,54,SOCIAL
